libor;overnight
3.08;2.98
3.0715;2.93
3.03281;2.94
3.02656;2.945
3.02688;2.925
3.027;2.925
3.01875;2.9
3.01313;2.91
3.00625;2.92
3.01063;2.93
3.01;2.9
2.99375;2.9
2.985;2.88
2.98475;2.87
2.97863;2.87
2.96813;2.84
2.93625;2.825
2.93;2.83
2.93;2.83
2.909;2.8
2.9;2.82
2.9;2.63
2.7175;2.644
2.715;2.63
2.71563;2.64
2.70863;2.626
2.707;2.63
2.7075;2.63
2.709;2.625
2.7;2.62
2.68838;2.595
2.68375;2.595
2.68163;2.59
2.67875;2.6
2.67475;2.6
2.67475;2.61
2.67725;2.59
2.677;2.61
2.677;2.61
2.67875;2.61
2.68375;2.62
2.68163;2.61
2.68825;2.617
2.68638;2.61
2.68838;2.6
2.68638;2.57
2.67938;2.54
2.66875;2.595
2.6785;2.593
2.68;2.6
2.68875;2.62
2.6885;2.63
2.68563;2.59
2.685;2.585
2.68;2.6
2.67725;2.585
2.6785;2.62
2.68625;2.63
2.68625;2.64
2.73563;2.695
2.81344;2.71
2.78063;2.685
2.80125;2.705
2.8075;2.685
2.78063;2.69
2.78125;2.69
2.79438;2.745
2.83063;2.745
2.835;2.73
2.84;2.73
2.8375;2.72
2.83813;2.7
2.82375;2.72
2.82125;2.755
2.84563;2.76
2.86375;2.79
2.87875;2.79
2.93;2.775
2.93163;2.8
2.92938;2.81
2.93688;2.8
2.91063;2.81
2.95813;2.85
2.95888;2.82
2.97125;2.83
2.97563;2.86
2.98688;2.84
2.99125;2.855
3;2.83
2.995;2.825
2.9775;2.825
2.9625;2.905
3.07;2.915
3.09438;2.94
3.09375;2.895
3.07688;2.89
3.05;2.9
3.09;2.91
3.09438;2.91
3.09;2.935
3.09125;2.915
3.10375;2.955
3.13;2.98
3.1925;3.01
3.2355;2.995
3.22563;3.01
3.23125;3.015
3.24;3.065
3.30125;3.095
3.31313;3.055
3.29125;3.05
3.28125;3.025
3.28;3.01
3.27;3.02
3.26875;2.995
3.205;2.965
3.19875;2.98
3.185;2.95
3.18125;2.96
3.18875;2.98
3.19;2.955
3.18813;3.015
3.23938;3.04
3.23938;2.97
3.28125;3.06
3.28313;3.035
3.28875;3.03
3.2875;2.97
3.2375;2.98
